# >> Output from NodeLinkage.pl <<
# >> Input file 1: "Nodes-Similarities_Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Input file 2: "Rmrz89_Exhaust_Nest0.6_Conn0.08_CompConn0.15.long.txt
# >> Clustering of nodes with the Average Linkage method
# >> Running at date:  (mm,dd,yy) 8, 19, 2022, and time: 22:21:9,
# >> Silwood Park, Imperial College London, A.P-G.
# 
Step	Similarity	Density	DensityInt	DensityExt	NumNodesA	NumEdgesA	NumNodesB	NumEdgesB	NumNodesAB	NumEdgesAB	NumIntNodesA	NumIntNodesB	NumExtNodesA	NumExtNodesB	NumIntNodesAB	NumExtNodesAB	NumIntEdgesA	NumIntEdgesB	NumExtEdgesA	NumExtEdgesB	NumIntEdgesAB	NumExtEdgesAB	nodeA	nodeB	NcumInt	NcumExt	Ncum
32	0.239757644661626	0.200773624884044	0.0253549695740365	0.175418655310007	1	6	1	8	2	14	0	0	6	8	0	11	0	0	6	8	0	14	Pl_25	Pl_30	14	479	493
33	0.230674500426578	0.197385007201153	0.025895875591616	0.171489131609537	3	44	2	41	5	83	2	2	28	31	5	40	1	1	43	40	4	79	An_6	An_3	16	477	493
34	0.22794933829332	0.203790473198804	0.0258958755916159	0.177894597607188	1	12	1	12	2	24	0	0	12	12	0	19	0	0	12	12	0	24	An_28	An_35	16	477	493
35	0.227037772964004	0.200477039674924	0.0258958755916159	0.174581164083309	2	12	2	15	4	27	0	0	9	11	0	16	0	0	12	15	0	27	Pl_32	Pl_20	16	477	493
36	0.226779783505185	0.203046851628744	0.0299526707234618	0.173094180905282	2	26	1	9	3	33	2	0	19	9	3	21	1	0	25	9	3	30	Pl_13	Pl_31	18	475	493
37	0.226494655444703	0.20691924698187	0.0299526707234618	0.176966576258408	1	6	1	8	2	14	0	0	6	8	0	11	0	0	6	8	0	14	Pl_43	Pl_18	18	475	493
38	0.220167997666084	0.211990240896677	0.0299526707234618	0.182037570173215	1	13	1	7	2	20	0	0	13	7	0	16	0	0	13	7	0	20	An_40	An_39	18	475	493
39	0.219563718562303	0.212412823722911	0.0299526707234618	0.182460152999449	2	20	1	14	3	34	0	0	15	14	0	24	0	0	20	14	0	34	An_18	An_10	18	475	493
40	0.219293525208611	0.217483817637718	0.0299526707234618	0.187531146914256	1	10	1	10	2	20	0	0	10	10	0	16	0	0	10	10	0	20	Pl_44	Pl_19	18	475	493
41	0.217171900751314	0.219763350140374	0.0313049357674104	0.188458414372964	1	12	3	16	4	26	0	0	12	10	3	14	0	0	12	16	2	24	Pl_39	Pl_42	20	473	493
42	0.216313288988499	0.219983093210016	0.0392156862745098	0.180767406935506	2	20	4	31	6	45	0	4	16	16	6	24	0	5	20	26	11	34	An_40	An_29	26	467	493
43	0.216045495680283	0.222722899777321	0.0392156862745098	0.183507213502811	1	15	2	29	3	44	0	0	15	23	0	30	0	0	15	29	0	44	Pl_8	Pl_3	26	467	493
44	0.210283368059618	0.223536428212851	0.0392156862745098	0.184320741938342	2	22	1	10	3	32	0	0	17	10	0	22	0	0	22	10	0	32	An_11	An_25	26	467	493
45	0.209308928766559	0.223219359856273	0.0385395537525355	0.184679806103738	3	33	1	8	4	40	3	0	21	8	4	23	3	0	30	8	4	36	Pl_13	Pl_47	27	466	493
46	0.207057359523292	0.221364093193704	0.0388776200135226	0.182486473180182	2	13	2	14	4	26	0	0	10	11	2	15	0	0	13	14	1	25	Pl_29	Pl_43	28	465	493
47	0.20356097028712	0.225108827161562	0.0388776200135226	0.18623120714804	1	9	1	7	2	16	0	0	9	7	0	13	0	0	9	7	0	16	An_36	An_31	28	465	493
48	0.200506986685819	0.222598809945663	0.0422582826233942	0.180340527322268	2	18	2	14	4	29	2	0	13	11	4	18	1	0	17	14	4	25	Pl_12	Pl_25	31	462	493
49	0.193482938346568	0.221547337190336	0.0432724814063556	0.17827485578398	2	13	2	17	4	28	0	2	10	13	4	15	0	1	13	16	3	25	An_30	An_45	33	460	493
50	0.192775637355471	0.212311589266141	0.041446923597025	0.170864665669116	3	70	2	29	5	99	0	2	47	21	2	55	0	1	70	28	1	98	Pl_1	Pl_5	33	460	493
51	0.19108288420512	0.21231896525729	0.041446923597025	0.170872041660265	3	32	1	7	4	39	0	0	22	7	0	25	0	0	32	7	0	39	An_11	An_37	33	460	493
52	0.190909868916786	0.22441133536183	0.041446923597025	0.182964411764805	1	23	1	39	2	62	0	0	23	39	0	52	0	0	23	39	0	62	An_2	An_1	33	460	493
53	0.190459510036911	0.218526095335719	0.039746933256061	0.178779162079658	2	28	5	83	7	111	0	5	22	40	5	47	0	4	28	79	4	107	An_9	An_6	33	460	493
54	0.188906409177404	0.220370354682892	0.039746933256061	0.180623421426831	3	44	1	27	4	71	0	0	30	27	0	47	0	0	44	27	0	71	Pl_8	Pl_2	33	460	493
55	0.188540636892672	0.215142148136227	0.0380566019511253	0.177085546185102	2	20	2	18	4	38	0	2	15	13	2	22	0	1	20	17	1	37	Pl_41	Pl_16	33	460	493
56	0.18564248110341	0.211381205700504	0.0380566019511253	0.173324603749379	2	26	2	18	4	44	0	0	20	14	0	27	0	0	26	18	0	44	An_12	An_34	33	460	493
57	0.180770595617052	0.211171417546453	0.0377185356901381	0.173452881856315	4	40	1	4	5	43	4	0	23	4	5	22	4	0	36	4	5	38	Pl_13	Pl_22	34	459	493
58	0.17430729748174	0.206333118590507	0.0370424031681638	0.169290715422343	2	18	2	19	4	36	0	2	14	14	3	22	0	1	18	18	2	34	An_44	An_19	35	458	493
59	0.169198490369443	0.199852094274419	0.0382481728323513	0.161603921442068	4	71	5	99	9	166	0	2	47	55	5	74	0	1	71	98	5	161	Pl_8	Pl_1	39	454	493
60	0.165138236036347	0.19959890679253	0.0384510125889436	0.161147894203586	4	39	1	8	5	46	0	0	25	8	2	28	0	0	39	8	1	45	An_11	An_23	40	453	493
61	0.157158935403632	0.203608236055409	0.0429811004861715	0.160627135569237	1	11	4	29	5	37	0	4	11	18	5	22	0	4	11	25	7	30	Pl_33	Pl_12	43	450	493
62	0.156636665322807	0.20124006482314	0.0438600727647381	0.157379992058402	2	20	4	38	6	56	0	2	16	22	5	27	0	1	20	37	3	53	Pl_44	Pl_41	45	448	493
63	0.156360117523318	0.1916428600628	0.0443430245661483	0.147299835496652	7	111	2	62	9	171	5	0	47	52	7	75	4	0	107	62	6	165	An_9	An_2	47	446	493
64	0.15347976517778	0.192989088209231	0.048061753437007	0.144927334772225	4	26	1	9	5	32	3	0	14	9	5	18	2	0	24	9	5	27	Pl_39	Pl_27	50	443	493
65	0.152867851155259	0.191508484258735	0.0526353069963617	0.138873177262373	2	24	6	45	8	63	0	6	19	24	8	31	0	11	24	34	17	46	An_28	An_40	56	437	493
